id,label
train_000248,7
train_000249,4
train_000250,0
train_000251,2
train_000252,2
train_000253,7
train_000254,2
train_000255,1
train_000256,9
train_000257,0
train_000258,6
train_000259,5
train_000260,2
train_000261,7
train_000262,2
train_000263,8
train_000264,1
train_000265,9
train_000266,3
train_000267,4
train_000268,7
train_000269,8
train_000270,3
train_000271,3
train_000272,0
train_000273,7
train_000274,6
train_000275,1
train_000276,0
train_000277,9
train_000278,1
train_000279,5
train_000280,2
train_000281,0
train_000282,0
train_000283,9
train_000284,7
train_000285,0
train_000286,6
train_000287,1
train_000288,1
train_000289,1
train_000290,9
train_000291,1
train_000292,2
train_000293,4
train_000294,8
train_000295,7
train_000296,6
train_000297,7
train_000298,3
train_000299,1
train_000300,6
train_000301,5
train_000302,2
train_000303,7
train_000304,7
train_000305,9
train_000306,2
train_000307,3
train_000308,1
train_000309,1
train_000310,0
train_000311,3
train_000312,2
train_000313,3
train_000314,1
train_000315,0
train_000316,9
train_000317,0
train_000318,1
train_000319,6
train_000320,6
train_000321,3
train_000322,3
train_000323,1
train_000324,2
train_000325,0
train_000326,3
train_000327,4
train_000328,6
train_000329,4
train_000330,5
train_000331,5
train_000332,0
train_000333,0
train_000334,7
train_000335,2
train_000336,2
train_000337,1
train_000338,8
train_000339,4
train_000340,1
train_000341,8
train_000342,1
train_000343,0
train_000344,5
train_000345,3
train_000346,9
train_000347,6
train_000348,8
train_000349,0
train_000350,6
train_000351,8
train_000352,4
train_000353,8
train_000354,2
train_000355,9
train_000356,2
train_000357,4
train_000358,8
train_000359,8
train_000360,7
train_000361,1
train_000362,8
train_000363,0
train_000364,8
train_000365,6
train_000366,3
train_000367,5
train_000368,1
train_000369,9
train_000370,1
train_000371,5
train_000372,8
train_000373,8
train_000374,1
train_000375,2
train_000376,6
train_000377,3
train_000378,3
train_000379,4
train_000380,4
train_000381,0
train_000382,5
train_000383,2
train_000384,1
train_000385,8
train_000386,7
train_000387,3
train_000388,9
train_000389,2
train_000390,2
train_000391,4
train_000392,2
train_000393,3
train_000394,7
train_000395,1
train_000396,2
train_000397,9
train_000398,9
train_000399,3
train_000400,4
train_000401,9
train_000402,1
train_000403,2
train_000404,1
train_000405,8
train_000406,7
train_000407,6
train_000408,6
train_000409,9
train_000410,1
train_000411,4
train_000412,4
train_000413,3
train_000414,8
train_000415,9
train_000416,9
train_000417,7
train_000418,4
train_000419,5
train_000420,7
train_000421,9
train_000422,3
train_000423,1
train_000424,9
train_000425,5
train_000426,6
train_000427,4
train_000428,0
train_000429,0
train_000430,1
train_000431,7
train_000432,5
train_000433,3
train_000434,3
train_000435,3
train_000436,0
train_000437,8
train_000438,9
train_000439,2
train_000440,6
train_000441,2
train_000442,3
train_000443,5
train_000444,3
train_000445,4
train_000446,9
train_000447,6
train_000448,5
train_000449,7
train_000450,8
train_000451,8
train_000452,2
train_000453,2
train_000454,0
train_000455,0
train_000456,9
train_000457,0
train_000458,2
train_000459,3
train_000460,8
train_000461,0
train_000462,2
train_000463,5
train_000464,1
train_000465,1
train_000466,9
train_000467,5
train_000468,9
train_000469,0
train_000470,2
train_000471,4
train_000472,2
train_000473,6
train_000474,5
train_000475,3
train_000476,9
train_000477,9
train_000478,2
train_000479,2
train_000480,2
train_000481,7
train_000482,3
train_000483,2
train_000484,7
train_000485,6
train_000486,1
train_000487,4
train_000488,0
train_000489,4
train_000490,3
train_000491,6
train_000492,0
train_000493,7
train_000494,0
train_000495,5
train_000496,0
train_000497,8
train_000498,6
train_000499,0
train_000500,6
train_000501,7
train_000502,6
train_000503,3
train_000504,6
train_000505,7
train_000506,4
train_000507,3
train_000508,0
train_000509,3
train_000510,0
train_000511,4
train_000512,9
train_000513,9
train_000514,8
train_000515,1
train_000516,8
train_000517,0
train_000518,0
train_000519,5
train_000520,4
train_000521,5
train_000522,0
train_000523,1
train_000524,4
train_000525,9
train_000526,8
train_000527,4
train_000528,5
train_000529,4
train_000530,6
train_000531,4
train_000532,0
train_000533,5
train_000534,3
train_000535,9
train_000536,7
train_000537,9
train_000538,8
train_000539,6
train_000540,7
train_000541,2
train_000542,3
train_000543,1
train_000544,9
train_000545,8
train_000546,6
train_000547,6
train_000548,7
train_000549,1
train_000550,6
train_000551,5
train_000552,5
train_000553,5
train_000554,9
train_000555,2
train_000556,2
train_000557,4
train_000558,4
train_000559,9
train_000560,2
train_000561,6
train_000562,8
train_000563,3
train_000564,4
train_000565,5
train_000566,6
train_000567,6
train_000568,9
train_000569,3
train_000570,2
train_000571,0
train_000572,1
train_000573,4
train_000574,0
train_000575,0
train_000576,6
train_000577,2
train_000578,5
train_000579,4
train_000580,0
train_000581,1
train_000582,9
train_000583,4
train_000584,4
train_000585,7
train_000586,5
train_000587,5
train_000588,2
train_000589,6
train_000590,7
train_000591,7
train_000592,6
train_000593,2
train_000594,6
train_000595,9
train_000596,7
train_000597,1
train_000598,3
train_000599,3
train_000600,8
train_000601,3
train_000602,5
train_000603,2
train_000604,7
train_000605,0
train_000606,0
train_000607,7
train_000608,6
train_000609,1
train_000610,9
train_000611,0
train_000612,1
train_000613,9
train_000614,9
train_000615,1
train_000616,6
train_000617,9
train_000618,4
train_000619,7
train_000620,2
train_000621,9
train_000622,2
train_000623,8
train_000624,5
train_000625,5
train_000626,8
train_000627,7
train_000628,4
train_000629,7
train_000630,3
train_000631,0
train_000632,2
train_000633,0
train_000634,9
train_000635,4
train_000636,8
train_000637,2
train_000638,6
train_000639,7
train_000640,2
train_000641,4
train_000642,5
train_000643,9
train_000644,4
train_000645,5
train_000646,9
train_000647,8
train_000648,7
train_000649,8
train_000650,9
train_000651,9
train_000652,2
train_000653,4
train_000654,4
train_000655,5
train_000656,2
train_000657,4
train_000658,4
train_000659,8
train_000660,0
train_000661,0
train_000662,0
train_000663,0
train_000664,7
train_000665,5
train_000666,7
train_000667,4
train_000668,0
train_000669,9
train_000670,8
train_000671,0
train_000672,7
train_000673,3
train_000674,2
train_000675,0
train_000676,3
train_000677,6
train_000678,1
train_000679,5
train_000680,9
train_000681,7
train_000682,6
train_000683,4
train_000684,6
train_000685,1
train_000686,8
train_000687,6
train_000688,0
train_000689,8
train_000690,0
train_000691,8
train_000692,5
train_000693,5
train_000694,4
train_000695,5
train_000696,1
train_000697,2
train_000698,0
train_000699,4
train_000700,9
train_000701,6
train_000702,5
train_000703,3
train_000704,2
train_000705,7
train_000706,7
train_000707,5
train_000708,1
train_000709,2
train_000710,4
train_000711,1
train_000712,1
train_000713,0
train_000714,9
train_000715,2
train_000716,9
train_000717,7
train_000718,5
train_000719,2
train_000720,7
train_000721,8
train_000722,6
train_000723,7
train_000724,0
train_000725,2
train_000726,5
train_000727,1
train_000728,1
train_000729,7
train_000730,4
train_000731,1
train_000732,7
train_000733,1
train_000734,0
train_000735,1
train_000736,4
train_000737,9
train_000738,6
train_000739,4
train_000740,3
train_000741,0
train_000742,6
train_000743,5
train_000744,9
train_000745,2
train_000746,6
train_000747,4
train_000748,1
train_000749,6
train_000750,7
train_000751,3
train_000752,2
train_000753,4
train_000754,4
train_000755,5
train_000756,1
train_000757,0
train_000758,7
train_000759,6
train_000760,9
train_000761,2
train_000762,5
train_000763,1
train_000764,9
train_000765,4
train_000766,0
train_000767,4
train_000768,9
train_000769,3
train_000770,8
train_000771,7
train_000772,6
train_000773,2
train_000774,0
train_000775,7
train_000776,4
train_000777,2
train_000778,4
train_000779,9
train_000780,6
train_000781,7
train_000782,7
train_000783,2
train_000784,3
train_000785,0
train_000786,0
train_000787,4
train_000788,5
train_000789,1
train_000790,7
train_000791,2
train_000792,0
train_000793,1
train_000794,0
train_000795,7
train_000796,0
train_000797,3
train_000798,1
train_000799,8
train_000800,7
train_000801,5
train_000802,2
train_000803,8
train_000804,0
train_000805,8
train_000806,1
train_000807,6
train_000808,9
train_000809,1
train_000810,4
train_000811,9
train_000812,5
train_000813,1
train_000814,6
train_000815,1
train_000816,4
train_000817,6
train_000818,4
train_000819,8
train_000820,1
train_000821,2
train_000822,9
train_000823,8
train_000824,0
train_000825,6
train_000826,6
train_000827,7
train_000828,2
train_000829,3
train_000830,5
train_000831,1
train_000832,0
train_000833,1
train_000834,7
train_000835,3
train_000836,7
train_000837,7
train_000838,4
train_000839,1
train_000840,0
train_000841,9
train_000842,1
train_000843,7
train_000844,5
train_000845,9
train_000846,0
train_000847,0
train_000848,2
train_000849,7
train_000850,7
train_000851,7
train_000852,6
train_000853,8
train_000854,4
train_000855,5
train_000856,6
train_000857,4
train_000858,1
train_000859,3
train_000860,4
train_000861,6
train_000862,4
train_000863,2
train_000864,5
train_000865,7
train_000866,1
train_000867,6
train_000868,4
train_000869,7
train_000870,3
train_000871,8
train_000872,7
train_000873,9
train_000874,2
train_000875,4
train_000876,0
train_000877,3
train_000878,1
train_000879,3
train_000880,6
train_000881,2
train_000882,8
train_000883,5
train_000884,6
train_000885,1
train_000886,8
train_000887,8
train_000888,1
train_000889,4
train_000890,5
train_000891,2
train_000892,7
train_000893,2
train_000894,7
train_000895,5
train_000896,4
train_000897,1
train_000898,0
train_000899,1
train_000900,9
train_000901,5
train_000902,3
train_000903,0
train_000904,3
train_000905,4
train_000906,5
train_000907,5
train_000908,4
train_000909,9
train_000910,5
train_000911,5
train_000912,1
train_000913,8
train_000914,2
train_000915,4
train_000916,2
train_000917,0
train_000918,9
train_000919,2
train_000920,5
train_000921,2
train_000922,7
train_000923,4
train_000924,9
train_000925,5
train_000926,8
train_000927,1
train_000928,5
train_000929,6
train_000930,9
train_000931,3
train_000932,1
train_000933,9
train_000934,8
train_000935,2
train_000936,5
train_000937,8
train_000938,2
train_000939,3
train_000940,5
train_000941,2
train_000942,4
train_000943,6
train_000944,3
train_000945,3
train_000946,9
train_000947,8
train_000948,9
train_000949,4
train_000950,0
train_000951,2
train_000952,3
train_000953,8
train_000954,4
train_000955,4
train_000956,8
train_000957,7
train_000958,5
train_000959,4
train_000960,0
train_000961,9
train_000962,3
train_000963,8
train_000964,7
train_000965,6
train_000966,7
train_000967,1
train_000968,2
train_000969,5
train_000970,7
train_000971,3
train_000972,6
train_000973,9
train_000974,7
train_000975,8
train_000976,0
train_000977,3
train_000978,9
train_000979,7
train_000980,4
train_000981,6
train_000982,4
train_000983,3
train_000984,1
train_000985,4
train_000986,6
train_000987,7
train_000988,4
train_000989,5
train_000990,5
train_000991,9
train_000992,4
train_000993,1
train_000994,0
train_000995,3
train_000996,0
train_000997,8
train_000998,1
train_000999,3
train_001000,9
train_001001,1
train_001002,4
train_001003,7
train_001004,8
train_001005,1
train_001006,0
train_001007,9
train_001008,8
train_001009,1
train_001010,7
train_001011,2
train_001012,9
train_001013,9
train_001014,9
train_001015,4
train_001016,0
train_001017,6
train_001018,3
train_001019,6
train_001020,3
train_001021,2
train_001022,9
train_001023,0
train_001024,4
train_001025,9
train_001026,7
train_001027,5
train_001028,7
train_001029,4
train_001030,0
train_001031,2
train_001032,8
train_001033,3
train_001034,8
train_001035,8
train_001036,4
train_001037,9
train_001038,0
train_001039,5
train_001040,8
train_001041,6
train_001042,6
train_001043,8
train_001044,6
train_001045,6
train_001046,5
train_001047,9
train_001048,8
train_001049,2
train_001050,7
train_001051,1
train_001052,1
train_001053,3
train_001054,0
train_001055,4
train_001056,5
train_001057,8
train_001058,1
train_001059,8
train_001060,0
train_001061,5
train_001062,6
train_001063,1
train_001064,5
train_001065,1
train_001066,1
train_001067,9
train_001068,6
train_001069,3
train_001070,3
train_001071,7
train_001072,7
train_001073,5
train_001074,0
train_001075,5
train_001076,4
train_001077,4
train_001078,5
train_001079,6
train_001080,7
train_001081,8
train_001082,1
train_001083,8
train_001084,4
train_001085,9
train_001086,5
train_001087,8
train_001088,1
train_001089,8
train_001090,0
train_001091,0
train_001092,6
train_001093,3
train_001094,4
train_001095,8
train_001096,8
train_001097,6
train_001098,0
train_001099,7
train_001100,0
train_001101,8
train_001102,1
train_001103,4
train_001104,8
train_001105,5
train_001106,9
train_001107,0
train_001108,5
train_001109,7
train_001110,6
train_001111,0
train_001112,4
train_001113,1
train_001114,3
train_001115,9
train_001116,4
train_001117,2
train_001118,8
train_001119,9
train_001120,2
train_001121,0
train_001122,2
train_001123,0
train_001124,3
train_001125,1
train_001126,3
train_001127,9
train_001128,6
train_001129,6
train_001130,9
train_001131,4
train_001132,4
train_001133,9
train_001134,1
train_001135,8
train_001136,6
train_001137,9
train_001138,2
train_001139,6
train_001140,0
train_001141,5
train_001142,6
train_001143,0
train_001144,2
train_001145,3
train_001146,6
train_001147,0
train_001148,5
train_001149,1
train_001150,0
train_001151,8
train_001152,7
train_001153,6
train_001154,2
train_001155,3
train_001156,6
train_001157,9
train_001158,2
train_001159,6
train_001160,9
train_001161,2
train_001162,2
train_001163,9
train_001164,3
train_001165,5
train_001166,5
train_001167,5
train_001168,8
train_001169,7
train_001170,7
train_001171,6
train_001172,1
train_001173,8
train_001174,4
train_001175,6
train_001176,8
train_001177,5
train_001178,8
train_001179,3
train_001180,3
train_001181,7
train_001182,0
train_001183,7
train_001184,8
train_001185,7
train_001186,3
train_001187,4
train_001188,0
train_001189,8
train_001190,6
train_001191,9
train_001192,9
train_001193,3
train_001194,7
train_001195,9
train_001196,2
train_001197,2
train_001198,6
train_001199,4
train_001200,9
train_001201,8
train_001202,1
train_001203,5
train_001204,1
train_001205,8
train_001206,6
train_001207,4
train_001208,9
train_001209,7
train_001210,6
train_001211,3
train_001212,9
train_001213,6
train_001214,9
train_001215,4
train_001216,4
train_001217,4
train_001218,5
train_001219,0
train_001220,1
train_001221,2
train_001222,5
train_001223,1
train_001224,2
train_001225,4
train_001226,8
train_001227,0
train_001228,2
train_001229,3
train_001230,3
train_001231,2
train_001232,2
train_001233,4
train_001234,4
train_001235,4
train_001236,1
train_001237,2
train_001238,1
train_001239,7
train_001240,6
train_001241,6
train_001242,3
train_001243,5
train_001244,7
train_001245,0
train_001246,1
train_001247,0
train_001248,1
train_001249,7
train_001250,2
train_001251,8
train_001252,0
train_001253,5
train_001254,0
train_001255,3
train_001256,2
train_001257,0
train_001258,0
train_001259,8
train_001260,0
train_001261,3
train_001262,6
train_001263,4
train_001264,4
train_001265,5
train_001266,6
train_001267,7
train_001268,5
train_001269,6
train_001270,4
train_001271,3
train_001272,1
train_001273,6
train_001274,8
train_001275,3
train_001276,1
train_001277,5
train_001278,5
train_001279,9
train_001280,6
train_001281,6
train_001282,6
train_001283,7
train_001284,5
train_001285,1
train_001286,7
train_001287,0
train_001288,9
train_001289,1
train_001290,4
train_001291,7
train_001292,3
train_001293,3
train_001294,2
train_001295,1
train_001296,7
train_001297,1
train_001298,1
train_001299,3
train_001300,2
train_001301,6
train_001302,8
train_001303,1
train_001304,4
train_001305,6
train_001306,4
train_001307,6
train_001308,9
train_001309,5
train_001310,3
train_001311,6
train_001312,0
train_001313,7
train_001314,3
train_001315,1
train_001316,1
train_001317,3
train_001318,4
train_001319,7
train_001320,8
train_001321,2
train_001322,3
train_001323,6
train_001324,3
train_001325,7
train_001326,1
train_001327,1
train_001328,8
train_001329,0
train_001330,9
train_001331,1
train_001332,4
train_001333,4
train_001334,4
train_001335,0
train_001336,3
train_001337,0
train_001338,8
train_001339,6
train_001340,8
train_001341,5
train_001342,1
train_001343,8
train_001344,4
train_001345,1
train_001346,7
train_001347,7
train_001348,9
train_001349,9
train_001350,0
train_001351,8
train_001352,3
train_001353,9
train_001354,3
train_001355,5
train_001356,2
train_001357,1
train_001358,2
train_001359,3
train_001360,0
train_001361,8
train_001362,3
train_001363,9
train_001364,8
train_001365,1
train_001366,5
train_001367,6
train_001368,0
train_001369,5
train_001370,9
train_001371,4
train_001372,7
train_001373,3
train_001374,9
train_001375,8
train_001376,4
train_001377,2
train_001378,4
train_001379,5
train_001380,4
train_001381,0
train_001382,2
train_001383,4
train_001384,1
train_001385,9
train_001386,2
train_001387,2
train_001388,2
train_001389,6
train_001390,3
train_001391,7
train_001392,0
train_001393,2
train_001394,0
train_001395,1
train_001396,0
train_001397,9
train_001398,9
train_001399,8
train_001400,7
train_001401,1
train_001402,2
train_001403,6
train_001404,3
train_001405,2
train_001406,2
train_001407,0
train_001408,9
train_001409,4
train_001410,4
train_001411,5
train_001412,7
train_001413,5
train_001414,5
train_001415,6
train_001416,4
train_001417,8
train_001418,4
train_001419,9
train_001420,3
train_001421,6
train_001422,2
train_001423,9
train_001424,2
train_001425,7
train_001426,6
train_001427,1
train_001428,9
train_001429,4
train_001430,7
train_001431,7
train_001432,2
train_001433,1
train_001434,0
train_001435,2
train_001436,7
train_001437,9
train_001438,4
train_001439,7
train_001440,0
train_001441,0
train_001442,5
train_001443,3
train_001444,6
train_001445,6
train_001446,6
train_001447,1
train_001448,4
train_001449,1
train_001450,1
train_001451,3
train_001452,0
train_001453,1
train_001454,3
train_001455,0
train_001456,4
train_001457,4
train_001458,1
train_001459,2
train_001460,5
train_001461,0
train_001462,5
train_001463,5
train_001464,0
train_001465,2
train_001466,6
train_001467,4
train_001468,3
train_001469,9
train_001470,8
train_001471,1
train_001472,3
train_001473,2
train_001474,1
train_001475,5
train_001476,4
train_001477,7
train_001478,8
train_001479,8
train_001480,4
train_001481,6
train_001482,8
train_001483,5
train_001484,8
train_001485,4
train_001486,5
train_001487,0
train_001488,5
train_001489,8
train_001490,1
train_001491,1
train_001492,0
train_001493,6
train_001494,0
train_001495,9
train_001496,6
train_001497,1
train_001498,6
train_001499,1
train_001500,3
train_001501,6
train_001502,5
train_001503,0
train_001504,5
train_001505,8
train_001506,1
train_001507,1
train_001508,5
train_001509,5
train_001510,9
train_001511,7
train_001512,9
train_001513,9
train_001514,7
train_001515,0
train_001516,3
train_001517,3
train_001518,9
train_001519,5
train_001520,2
train_001521,4
train_001522,0
train_001523,9
train_001524,6
train_001525,4
train_001526,6
train_001527,1
train_001528,2
train_001529,5
train_001530,7
train_001531,3
train_001532,1
train_001533,1
train_001534,4
train_001535,6
train_001536,6
train_001537,4
train_001538,0
train_001539,8
train_001540,8
train_001541,6
train_001542,4
train_001543,7
train_001544,6
train_001545,7
train_001546,6
train_001547,8
train_001548,3
train_001549,6
train_001550,0
train_001551,6
train_001552,8
train_001553,9
train_001554,5
train_001555,5
train_001556,9
train_001557,2
train_001558,8
train_001559,7
train_001560,7
train_001561,7
train_001562,6
train_001563,7
train_001564,5
train_001565,5
train_001566,7
train_001567,4
train_001568,4
train_001569,0
train_001570,8
train_001571,2
train_001572,9
train_001573,6
train_001574,1
train_001575,5
train_001576,9
train_001577,4
train_001578,1
train_001579,4
train_001580,1
train_001581,6
train_001582,7
train_001583,5
train_001584,8
train_001585,6
train_001586,9
train_001587,6
train_001588,9
train_001589,5
train_001590,1
train_001591,1
train_001592,4
train_001593,2
train_001594,9
train_001595,5
train_001596,0
train_001597,6
train_001598,6
train_001599,2
train_001600,9
train_001601,1
train_001602,4
train_001603,6
train_001604,2
train_001605,8
train_001606,5
train_001607,2
train_001608,0
train_001609,5
train_001610,8
train_001611,7
train_001612,8
train_001613,7
train_001614,9
train_001615,6
train_001616,8
train_001617,5
train_001618,3
train_001619,3
train_001620,8
train_001621,7
train_001622,3
train_001623,0
train_001624,1
train_001625,4
train_001626,0
train_001627,7
train_001628,8
train_001629,3
train_001630,6
train_001631,1
train_001632,3
train_001633,1
train_001634,2
train_001635,8
train_001636,8
train_001637,7
train_001638,4
train_001639,6
train_001640,8
train_001641,1
train_001642,7
train_001643,5
train_001644,3
train_001645,7
train_001646,8
train_001647,6
train_001648,6
train_001649,0
train_001650,4
train_001651,1
train_001652,5
train_001653,1
train_001654,6
train_001655,8
train_001656,5
train_001657,1
train_001658,7
train_001659,4
train_001660,7
train_001661,7
train_001662,3
train_001663,8
train_001664,1
train_001665,1
train_001666,0
train_001667,0
train_001668,8
train_001669,1
train_001670,2
train_001671,2
train_001672,8
train_001673,5
train_001674,2
train_001675,9
train_001676,9
train_001677,1
train_001678,3
train_001679,8
train_001680,1
train_001681,9
train_001682,5
train_001683,8
train_001684,5
train_001685,4
train_001686,1
train_001687,6
train_001688,3
train_001689,2
train_001690,0
train_001691,9
train_001692,4
train_001693,9
train_001694,0
train_001695,1
train_001696,8
train_001697,5
train_001698,0
train_001699,8
train_001700,8
train_001701,3
train_001702,3
train_001703,1
train_001704,0
train_001705,4
train_001706,2
train_001707,9
train_001708,0
train_001709,4
train_001710,4
train_001711,6
train_001712,6
train_001713,7
train_001714,1
train_001715,4
train_001716,3
train_001717,4
train_001718,0
train_001719,9
train_001720,6
train_001721,6
train_001722,0
train_001723,4
train_001724,7
train_001725,6
train_001726,5
train_001727,5
train_001728,4
train_001729,9
train_001730,7
train_001731,6
train_001732,4
train_001733,4
train_001734,0
train_001735,0
train_001736,9
train_001737,9
train_001738,1
train_001739,3
train_001740,8
train_001741,1
train_001742,9
train_001743,5
train_001744,1
train_001745,8
train_001746,5
train_001747,5
train_001748,5
train_001749,6
train_001750,0
train_001751,4
train_001752,8
train_001753,6
train_001754,5
train_001755,2
train_001756,6
train_001757,3
train_001758,6
train_001759,0
train_001760,3
train_001761,0
train_001762,2
train_001763,3
train_001764,3
train_001765,7
train_001766,4
train_001767,7
train_001768,9
train_001769,5
train_001770,7
train_001771,9
train_001772,6
train_001773,3
train_001774,2
train_001775,3
train_001776,8
train_001777,4
train_001778,5
train_001779,2
train_001780,1
train_001781,7
train_001782,4
train_001783,5
train_001784,1
train_001785,4
train_001786,0
train_001787,3
train_001788,1
train_001789,9
train_001790,6
train_001791,2
train_001792,2
train_001793,3
train_001794,9
train_001795,3
train_001796,0
train_001797,8
train_001798,7
train_001799,7
train_001800,4
train_001801,2
train_001802,4
train_001803,2
train_001804,6
train_001805,2
train_001806,9
train_001807,8
train_001808,5
train_001809,6
train_001810,0
train_001811,5
train_001812,9
train_001813,3
train_001814,9
train_001815,1
train_001816,8
train_001817,8
train_001818,6
train_001819,5
train_001820,7
train_001821,9
train_001822,6
train_001823,5
train_001824,3
train_001825,5
train_001826,5
train_001827,2
train_001828,5
train_001829,5
train_001830,7
train_001831,2
train_001832,3
train_001833,7
train_001834,8
train_001835,2
train_001836,2
train_001837,0
train_001838,7
train_001839,4
train_001840,0
train_001841,7
train_001842,6
train_001843,9
train_001844,6
train_001845,7
train_001846,8
train_001847,4
train_001848,9
train_001849,1
train_001850,2
train_001851,8
train_001852,9
train_001853,0
train_001854,5
train_001855,3
train_001856,8
train_001857,0
train_001858,8
train_001859,8
train_001860,7
train_001861,7
train_001862,6
train_001863,0
train_001864,6
train_001865,5
train_001866,8
train_001867,6
train_001868,7
train_001869,2
train_001870,9
train_001871,3
train_001872,4
train_001873,3
train_001874,5
train_001875,4
train_001876,1
train_001877,2
train_001878,0
train_001879,7
train_001880,4
train_001881,1
train_001882,0
train_001883,7
train_001884,0
train_001885,8
train_001886,1
train_001887,2
train_001888,4
train_001889,6
train_001890,4
train_001891,6
train_001892,8
train_001893,4
train_001894,9
train_001895,9
train_001896,9
train_001897,2
train_001898,8
train_001899,7
train_001900,3
train_001901,0
train_001902,1
train_001903,0
train_001904,8
train_001905,3
train_001906,5
train_001907,1
train_001908,4
train_001909,3
train_001910,0
train_001911,3
train_001912,3
train_001913,7
train_001914,3
train_001915,5
train_001916,9
train_001917,3
train_001918,6
train_001919,0
train_001920,8
train_001921,4
train_001922,7
train_001923,1
train_001924,4
train_001925,4
train_001926,1
train_001927,9
train_001928,5
train_001929,9
train_001930,5
train_001931,3
train_001932,2
train_001933,5
train_001934,8
train_001935,6
train_001936,5
train_001937,3
train_001938,3
train_001939,9
train_001940,7
train_001941,0
train_001942,1
train_001943,9
train_001944,9
train_001945,8
train_001946,3
train_001947,3
train_001948,8
train_001949,3
train_001950,6
train_001951,6
train_001952,1
train_001953,5
train_001954,4
train_001955,4
train_001956,6
train_001957,1
train_001958,8
train_001959,6
train_001960,9
train_001961,6
train_001962,7
train_001963,4
train_001964,1
train_001965,8
train_001966,3
train_001967,3
train_001968,5
train_001969,0
train_001970,2
train_001971,3
train_001972,0
train_001973,1
train_001974,7
train_001975,3
train_001976,6
train_001977,8
train_001978,0
train_001979,9
train_001980,0
train_001981,3
train_001982,8
train_001983,1
train_001984,0
train_001985,9
train_001986,8
train_001987,3
train_001988,8
train_001989,0
train_001990,1
train_001991,0
train_001992,8
train_001993,9
train_001994,8
train_001995,9
train_001996,3
train_001997,4
train_001998,7
